홈승,무승부,원정승,종료홈배당,종료무배당,종료원정배당,결과
1.4,4.7,8.0,1.4,4.7,8.5, 7-1
3.15,3.6,2.2,3.3,3.4,2.2, 0-2
1.37,5.1,8.5,1.3,5.5,9.5, 8-2
5.8,4.7,1.52,5.4,4.5,1.55, 1-0
2.02,3.45,3.85,2.05,3.35,3.8, 2-0
2.25,3.1,3.6,2.12,3.25,3.75, 1-0
1.92,3.35,4.4,1.87,3.35,4.7, 1-1
4.5,3.75,1.8,4.5,3.9,1.75, 1-1
1.35,5.3,8.0,1.42,5.1,8.0, 4-2
3.85,4.2,1.8,3.6,4.4,1.92, 1-1
2.85,2.9,2.85,2.8,2.8,3.05, 1-0
1.83,3.8,4.15,2.0,3.7,3.9, 0-0
3.1,3.15,2.4,2.9,3.05,2.65, 0-2
2.4,3.0,3.3,2.25,3.0,3.7, 2-0
2.4,3.55,2.85,2.3,3.45,3.05, 3-1
1.35,5.2,7.9,1.43,4.7,7.4, 3-0
2.4,3.55,2.85,2.3,3.45,3.1, 1-1
2.2,3.4,3.25,2.35,3.25,3.25, 3-1
2.5,3.45,2.75,2.3,3.35,3.2, 6-0
2.75,3.1,2.75,2.85,3.15,2.65, 1-1
3.55,3.65,2.05,4.05,3.85,1.85, 2-2
2.85,3.35,2.5,2.75,3.2,2.7, 0-1
1.75,3.6,5.0,1.85,3.45,4.6, 2-0
2.8,3.1,2.75,2.8,3.0,2.85, 1-0
9.5,5.6,1.32,10.0,5.6,1.3, 0-2
4.5,3.5,1.85,4.0,3.7,1.9, 0-0
2.2,3.8,3.05,1.98,3.75,3.65, 7-1
1.38,4.7,9.0,1.38,4.8,9.5, 3-0
2.1,3.35,3.7,2.0,3.4,4.3, 0-1
1.7,3.7,5.4,1.72,3.7,5.5, 1-0
3.6,3.3,2.1,3.6,3.25,2.17, 0-1
1.72,3.95,4.6,1.85,3.8,4.3, 1-0
2.3,3.65,2.85,2.3,3.65,3.0, 0-0
1.19,7.0,14.0,1.23,6.5,13.0, 3-0
2.2,3.35,3.35,2.2,3.45,3.3, 1-1
1.32,5.7,8.5,1.3,5.8,9.0, 4-3
3.7,3.2,2.15,3.4,3.1,2.4, 1-1
1.85,3.85,4.1,1.93,3.8,4.1, 3-2
2.7,3.85,2.4,2.7,3.75,2.45, 2-3
4.9,3.6,1.77,5.7,3.55,1.7, 0-2
1.17,7.2,18.0,1.23,6.5,14.0, 1-0
2.25,3.35,3.3,2.2,3.3,3.45, 3-3
2.9,3.45,2.4,3.0,3.5,2.5, 0-2
1.92,3.3,4.5,1.75,3.45,5.2, 1-1
1.3,5.6,10.0,1.32,5.8,10.5, 0-1
1.62,4.05,5.4,1.6,4.05,5.6, 2-2
3.0,3.6,2.3,2.85,3.55,2.4, 1-1 
1.97,3.5,3.9,2.02,3.5,3.7, 5-2 
1.77,3.55,5.6,1.68,3.75,6.1, 2-2 
1.5,4.5,6.1,1.53,4.5,5.8, 2-1 
2.25,2.9,3.85,2.15,2.95,4.1, 1-0 
2.55,3.8,2.55,2.45,3.8,2.65, 1-2 
4.6,4.2,1.68,4.8,4.3,1.65, 2-2 
1.63,3.85,5.5,1.6,3.85,6.1, 2-2 
4.9,4.1,1.65,5.1,4.2,1.65, 1-0 
1.12,9.5,17.0,1.14,9.0,17.0, 6-0 
2.13,3.7,3.2,2.2,3.7,3.15, 3-2 
2.08,3.7,3.35,2.05,3.7,3.45, 3-0 
2.17,3.15,3.65,2.17,3.1,3.75, 4-2 
1.9,3.9,3.7,1.92,4.0,3.65, 2-1 
2.25,3.65,2.95,2.4,3.6,2.85, 2-1 
1.5,4.3,6.6,1.5,4.4,6.6, 2-2 
1.85,3.7,4.2,1.75,3.9,4.6, 2-0 
1.35,5.0,8.5,1.38,5.2,7.8, 2-0 
2.75,3.45,2.5,2.8,3.5,2.5, 0-2 
2.05,3.55,3.55,1.92,3.7,3.9, 3-1 
2.4,3.35,3.05,2.4,3.4,3.0, 2-0 
4.3,3.45,1.9,4.1,3.4,1.98, 2-0 
2.7,3.1,2.75,2.65,3.1,2.85, 2-1 
1.25,7.0,9.5,1.22,7.2,11.0, 5-2 
2.1,3.5,3.5,2.1,3.65,3.4, 5-1 
1.4,5.2,7.2,1.45,4.8,6.6, 4-2 
1.11,9.5,23.0,1.1,10.0,25.0, 5-0 
1.6,3.95,5.9,1.68,3.65,5.5, 1-0 
2.4,3.05,3.25,2.45,3.05,3.2, 0-1 
2.55,3.25,2.85,2.4,3.25,3.0, 0-0 
4.1,3.95,1.8,3.95,3.9,1.85, 2-1 
2.25,3.2,3.4,2.25,3.25,3.45, 1-2 
2.0,3.55,3.7,1.9,3.6,4.1, 2-0 
8.5,5.2,1.35,7.9,5.0,1.4, 0-3 
2.1,3.3,3.7,2.0,3.35,4.0, 1-0 
1.82,3.85,4.1,1.85,3.75,4.15, 1-1 
1.25,6.3,11.5,1.25,6.4,11.5, 4-0 
2.07,3.65,3.4,2.18,3.65,3.2, 0-0 
